,open_time,exit_time,direction,holding_time,returns,open_time_stamp,exit_time_stamp
0,10,13.0,-1.0,3.0,-0.0004844202012464352,2021-11-01 09:39:00,2021-11-01 09:42:00
1,13,14.0,1.0,1.0,0.0004841856519310127,2021-11-01 09:42:00,2021-11-01 09:43:00
2,14,15.0,-1.0,1.0,-5.6947608215709956e-05,2021-11-01 09:43:00,2021-11-01 09:44:00
3,15,18.0,1.0,3.0,-0.00025628977971214,2021-11-01 09:44:00,2021-11-01 09:47:00
4,18,19.0,-1.0,1.0,0.0009687990499865596,2021-11-01 09:47:00,2021-11-01 09:48:00
5,19,21.0,1.0,2.0,0.0004275270475974578,2021-11-01 09:48:00,2021-11-01 09:50:00
6,21,22.0,-1.0,1.0,-0.0003418900856686242,2021-11-01 09:50:00,2021-11-01 09:51:00
7,22,23.0,1.0,1.0,0.0005695571846977365,2021-11-01 09:51:00,2021-11-01 09:52:00
8,23,27.0,-1.0,4.0,-0.000483868681790562,2021-11-01 09:52:00,2021-11-01 09:56:00
9,27,29.0,1.0,2.0,0.001080742973711882,2021-11-01 09:56:00,2021-11-01 09:58:00
10,29,32.0,-1.0,3.0,-0.00048311238986122247,2021-11-01 09:58:00,2021-11-01 10:01:00
11,32,39.0,1.0,7.0,-0.0013362334425998687,2021-11-01 10:01:00,2021-11-01 10:08:00
12,39,40.0,-1.0,1.0,0.0005976180829269414,2021-11-01 10:08:00,2021-11-01 10:09:00
13,40,44.0,1.0,4.0,-0.0018520370572391212,2021-11-01 10:09:00,2021-11-01 10:13:00
14,44,45.0,-1.0,1.0,0.001598356316992026,2021-11-01 10:13:00,2021-11-01 10:14:00
15,45,47.0,1.0,2.0,0.0005425858632431493,2021-11-01 10:14:00,2021-11-01 10:16:00
16,47,48.0,-1.0,1.0,0.0009997287283478112,2021-11-01 10:16:00,2021-11-01 10:17:00
17,48,49.0,1.0,1.0,0.0010282777255658433,2021-11-01 10:17:00,2021-11-01 10:18:00
18,49,53.0,-1.0,4.0,-0.0012268364853526056,2021-11-01 10:18:00,2021-11-01 10:22:00
19,53,55.0,1.0,2.0,0.00022808268096041848,2021-11-01 10:22:00,2021-11-01 10:24:00
20,55,57.0,-1.0,2.0,0.0003421435325484123,2021-11-01 10:24:00,2021-11-01 10:26:00
21,57,59.0,1.0,2.0,-0.00011407386294981266,2021-11-01 10:26:00,2021-11-01 10:28:00
22,59,60.0,-1.0,1.0,-2.85196857148389e-05,2021-11-01 10:28:00,2021-11-01 10:29:00
23,60,61.0,1.0,1.0,0.00045620438747416174,2021-11-01 10:29:00,2021-11-01 10:30:00
24,61,62.0,-1.0,1.0,0.00011403158687291887,2021-11-01 10:30:00,2021-11-01 10:31:00
25,62,63.0,1.0,1.0,0.00048454446643453715,2021-11-01 10:31:00,2021-11-01 10:32:00
26,63,72.0,-1.0,9.0,-0.0028455188081495408,2021-11-01 10:32:00,2021-11-01 10:41:00
27,73,74.0,1.0,1.0,0.0005682141183621461,2021-11-01 10:42:00,2021-11-01 10:43:00
28,74,82.0,-1.0,8.0,-0.001986210680495129,2021-11-01 10:43:00,2021-11-01 10:51:00
29,82,87.0,1.0,5.0,-0.000567086325733818,2021-11-01 10:51:00,2021-11-01 10:56:00
30,87,90.0,-1.0,3.0,-0.0006237772750387892,2021-11-01 10:56:00,2021-11-01 10:59:00
31,90,91.0,1.0,1.0,0.0005384037874997754,2021-11-01 10:59:00,2021-11-01 11:00:00
32,91,93.0,-1.0,2.0,0.0002833342796762724,2021-11-01 11:00:00,2021-11-01 11:02:00
33,93,97.0,1.0,4.0,-0.0011341405848643716,2021-11-01 11:02:00,2021-11-01 11:06:00
34,97,98.0,-1.0,1.0,8.511241937198603e-05,2021-11-01 11:06:00,2021-11-01 11:07:00
35,98,99.0,1.0,1.0,-5.674563769420306e-05,2021-11-01 11:07:00,2021-11-01 11:08:00
36,99,100.0,-1.0,1.0,0.00042569495342958117,2021-11-01 11:08:00,2021-11-01 11:09:00
37,100,103.0,1.0,3.0,0.00014191845389481078,2021-11-01 11:09:00,2021-11-01 11:12:00
38,103,107.0,-1.0,4.0,-0.0012480146843369803,2021-11-01 11:12:00,2021-11-01 11:16:00
39,107,108.0,1.0,1.0,0.000255083966521521,2021-11-01 11:16:00,2021-11-01 11:17:00
40,108,111.0,-1.0,3.0,-0.0002833503362490919,2021-11-01 11:17:00,2021-11-01 11:20:00
41,111,116.0,1.0,5.0,-0.0007085264364198242,2021-11-01 11:20:00,2021-11-01 11:25:00
42,116,117.0,-1.0,1.0,-0.00025512735245323333,2021-11-01 11:25:00,2021-11-01 11:26:00
43,117,119.0,1.0,2.0,5.6686128919553465e-05,2021-11-01 11:26:00,2021-11-01 11:28:00
44,119,123.0,-1.0,4.0,-0.0005100306128922028,2021-11-01 11:28:00,2021-11-01 13:02:00
45,123,126.0,1.0,3.0,-0.0003116544627229047,2021-11-01 13:02:00,2021-11-01 13:05:00
46,126,129.0,-1.0,3.0,-0.0004816068764561884,2021-11-01 13:05:00,2021-11-01 13:08:00
47,129,132.0,1.0,3.0,0.00022655829725075187,2021-11-01 13:08:00,2021-11-01 13:11:00
48,132,133.0,-1.0,1.0,8.49533465051495e-05,2021-11-01 13:11:00,2021-11-01 13:12:00
49,133,136.0,1.0,3.0,2.8318584072517214e-05,2021-11-01 13:12:00,2021-11-01 13:15:00
50,136,138.0,-1.0,2.0,-2.8317782153173046e-05,2021-11-01 13:15:00,2021-11-01 13:17:00
51,138,141.0,1.0,3.0,-0.00014159693041514002,2021-11-01 13:17:00,2021-11-01 13:20:00
52,141,142.0,-1.0,1.0,-0.00014159693041514002,2021-11-01 13:20:00,2021-11-01 13:21:00
53,142,144.0,1.0,2.0,5.663315872952162e-05,2021-11-01 13:21:00,2021-11-01 13:23:00
54,144,146.0,-1.0,2.0,0.0003398470720899936,2021-11-01 13:23:00,2021-11-01 13:25:00
55,146,148.0,1.0,2.0,0.0004531037685131667,2021-11-01 13:25:00,2021-11-01 13:27:00
56,148,149.0,-1.0,1.0,0.00014157287487373072,2021-11-01 13:27:00,2021-11-01 13:28:00
57,149,150.0,1.0,1.0,0.00016988504486176742,2021-11-01 13:28:00,2021-11-01 13:29:00
58,150,153.0,-1.0,3.0,0.00014156886641125555,2021-11-01 13:29:00,2021-11-01 13:32:00
59,153,158.0,1.0,5.0,-0.0008781745865425355,2021-11-01 13:32:00,2021-11-01 13:37:00
60,158,160.0,-1.0,2.0,-0.0001700294721846671,2021-11-01 13:37:00,2021-11-01 13:39:00
61,160,161.0,1.0,1.0,0.0005948755894022037,2021-11-01 13:39:00,2021-11-01 13:40:00
62,161,163.0,-1.0,2.0,0.0005665401545221878,2021-11-01 13:40:00,2021-11-01 13:42:00
